Year,平均每日日照時數,平均每日日射量,行政區,ESH
2012,5.322279152762328,9.81718159507036,屏東縣,9.81718159507036
2013,5.643159687437387,14.056522727272728,屏東縣,14.056522727272728
2014,6.113890168970813,15.911070967741937,屏東縣,15.911070967741937
2015,6.759511453950444,16.85950570550801,屏東縣,16.85950570550801
2016,6.018356997971602,15.03484459857358,屏東縣,15.03484459857358
2017,7.208648745519713,16.036251447477255,屏東縣,16.036251447477255
2018,6.694239631336406,15.349079244601064,屏東縣,15.349079244601064
2019,8.20747738521932,16.476908804268735,屏東縣,16.476908804268735
2020,9.127331656752268,20.001056568489947,屏東縣,20.001056568489947
2021,8.9130958781362,18.563311251920123,屏東縣,18.563311251920123
2022,9.13543698796723,18.771207757296462,屏東縣,18.771207757296462
2023,9.010806622290492,18.27257108721625,屏東縣,18.27257108721625
2024,9.163868625958669,18.889663173506623,屏東縣,18.889663173506623
1999,3.522070660522273,10.949423195084483,宜蘭縣,10.949423195084483
2000,2.671601779755284,10.886129650228648,宜蘭縣,10.886129650228648
2001,3.400111367127496,11.532433307731695,宜蘭縣,11.532433307731695
2002,3.920664362519201,11.704649513568867,宜蘭縣,11.704649513568867
2003,3.9974955197132616,11.87552688172043,宜蘭縣,11.87552688172043
2004,3.957310283030528,11.636040477073292,宜蘭縣,11.636040477073292
2005,3.8570529313876087,11.571629384280593,宜蘭縣,11.571629384280593
2006,3.5059395801331283,11.014297171018946,宜蘭縣,11.014297171018946
2007,3.575669482846902,11.123445660522274,宜蘭縣,11.123445660522274
2008,3.8227558398220247,9.961195161290323,宜蘭縣,9.961195161290323
2009,3.9906048387096775,12.155689068100358,宜蘭縣,12.155689068100358
2010,3.985642601126472,11.689676139272914,宜蘭縣,11.689676139272914
2011,3.426001664106503,11.236270481310804,宜蘭縣,11.236270481310804
2012,3.627147756766778,11.885684363097043,宜蘭縣,11.885684363097043
2013,3.60346198156682,11.302668522785458,宜蘭縣,11.302668522785458
2014,4.344615335381465,12.166302547363031,宜蘭縣,12.166302547363031
2015,4.153870967741935,8.588343701996928,宜蘭縣,8.588343701996928
2016,4.416171466238207,12.16242032814238,宜蘭縣,12.16242032814238
2017,4.464330261136713,13.575397739741057,宜蘭縣,13.575397739741057
2018,4.837393241167435,13.6840821812596,宜蘭縣,13.6840821812596
2019,7.063986175115208,12.8247294760198,宜蘭縣,12.8247294760198
2020,6.803577712609971,12.497966764418376,宜蘭縣,12.497966764418376
2021,7.187604646697388,13.862041410650283,宜蘭縣,13.862041410650283
2022,6.741091589861751,12.748847606246798,宜蘭縣,12.748847606246798
2023,7.115681226207173,13.215236091631605,宜蘭縣,13.215236091631605
2024,6.737735632183908,11.465213570634038,宜蘭縣,11.465213570634038
1999,2.8992612763580508,7.282273809523809,花蓮縣,7.282273809523809
2000,2.650070294153998,11.501861327400816,花蓮縣,11.501861327400816
2001,3.1329115463389656,11.48161354326677,花蓮縣,11.48161354326677
2002,3.360711085509472,11.29340514592934,花蓮縣,11.29340514592934
2003,3.9924408602150536,11.575213261648749,花蓮縣,11.575213261648749
2004,3.9702824125571614,11.85792460758868,花蓮縣,11.85792460758868
2005,3.533527440301634,10.803736559139784,花蓮縣,10.803736559139784
2006,3.298913850486431,11.225908474142344,花蓮縣,11.225908474142344
2007,3.3349430363543267,11.22523527905786,花蓮縣,11.22523527905786
2008,3.484950562353232,11.77322141886046,花蓮縣,11.77322141886046
2009,3.052399513568868,12.039551011264722,花蓮縣,12.039551011264722
2010,3.7561296722990263,11.792061251920122,花蓮縣,11.792061251920122
2011,3.3415956221198155,11.029680427547364,花蓮縣,11.029680427547364
2012,3.4058015078482264,11.58634668149796,花蓮縣,11.58634668149796
2013,3.934078981054788,11.122529377880184,花蓮縣,11.122529377880184
2014,4.150741807475678,10.900017511520735,花蓮縣,10.900017511520735
2015,4.085608678955453,7.780832821300562,花蓮縣,7.780832821300562
2016,3.940682913675128,10.251502363737488,花蓮縣,10.251502363737488
2017,4.376737885770144,10.318692396313365,花蓮縣,10.318692396313365
2018,5.160546274961598,13.103489823348694,花蓮縣,13.103489823348694
2019,7.091915322580645,12.912385752688172,花蓮縣,12.912385752688172
2020,7.099765395894428,12.721270772238514,花蓮縣,12.721270772238514
2021,7.262659370199692,13.228755760368664,花蓮縣,13.228755760368664
2022,7.196061187916026,12.769855350742448,花蓮縣,12.769855350742448
2023,7.2037397593445975,12.780588837685611,花蓮縣,12.780588837685611
2024,6.292509454949944,10.230667408231367,花蓮縣,10.230667408231367
1999,2.949597414234511,8.226847862263185,台東縣,8.226847862263185
2000,3.1556912000988757,8.377908385860833,台東縣,8.377908385860833
2001,3.132251664106503,8.14222177419355,台東縣,8.14222177419355
2002,3.0250889656938043,7.996473310291859,台東縣,7.996473310291859
2003,3.3625083205325144,8.241541346646185,台東縣,8.241541346646185
2004,3.525120504263997,8.29485712520084,台東縣,8.29485712520084
2005,2.943714797747056,7.430038594470045,台東縣,7.430038594470045
2006,3.068661034306196,7.681195212493599,台東縣,7.681195212493599
2007,3.0813754480286737,7.619006784434204,台東縣,7.619006784434204
2008,3.2560547212952664,7.757777005314548,台東縣,7.757777005314548
2009,3.480082565284178,7.9738767921146945,台東縣,7.9738767921146945
2010,3.1492972350230417,7.499515296979006,台東縣,7.499515296979006
