站名,平均氣溫,絕對最高氣溫,絕對最低氣溫,總日照時數h,總日射量MJ/ m2,Year,Month,行政區,days_in_month,平均每日日照時數,平均每日日射量
畜試所,26.1,33.8,19.3,113.8,308.96,2000,10,臺南市,31,3.670967741935484,9.966451612903224
高雄農改,27.1,34.1,21.9,121.4,274.34,2000,10,屏東縣,31,3.916129032258065,8.849677419354839
恆春畜試,27,32.4,21.9,216.9,524.04,2000,10,屏東縣,31,6.996774193548387,16.904516129032256
蘭陽分場,24.5,32.1,18.5,92.9,298.6,2000,10,宜蘭縣,31,2.9967741935483874,9.63225806451613
花蓮農改,25.2,31.7,18.9,117.7,370.5,2000,10,花蓮縣,31,3.796774193548387,11.951612903225806
斑鳩分場,24.4,31.9,18.5,131.4,273.57,2000,10,台東縣,31,4.238709677419355,8.824838709677419
農業試驗所,25.7,33.9,19.5,159.1,359.75,2000,10,台中市,31,5.132258064516129,11.60483870967742
茶改場,20.3,29.7,12.4,107.5,220.3,2000,11,桃園市,30,3.5833333333333335,7.343333333333334
桃園農改,,,,,,2000,11,桃園市,30,,
五峰站,17.1,25.6,8.5,76.1,278.05,2000,11,新竹縣,30,2.5366666666666666,9.268333333333334
苗栗農改,20.9,30.4,14,,278.19,2000,11,苗栗縣,30,,9.273
台中農改,22.1,31.3,15.6,154.3,219.65,2000,11,台中市,30,5.1433333333333335,7.321666666666667
臺大溪頭,17.1,24.5,10.7,,253.79,2000,11,南投縣,30,,8.459666666666667
雲林分場,21.8,31.5,15.1,72.2,231.69,2000,11,雲林縣,30,2.4066666666666667,7.723
義竹分場,22.1,30.1,15.2,,337.98,2000,11,嘉義縣,30,,11.266
畜試所,22.6,31,15.9,82.1,232.04,2000,11,臺南市,30,2.7366666666666664,7.734666666666667
高雄農改,24.3,31.5,17.8,115.2,242.07,2000,11,屏東縣,30,3.8400000000000003,8.068999999999999
恆春畜試,25.6,31.4,20.1,182.6,440.73,2000,11,屏東縣,30,6.086666666666667,14.691
蘭陽分場,21,29.3,14.9,29.2,144.36,2000,11,宜蘭縣,30,0.9733333333333333,4.812
花蓮農改,22.6,29.7,17,61.6,244.64,2000,11,花蓮縣,30,2.0533333333333332,8.154666666666666
斑鳩分場,22.4,32.1,16.1,98.0,223.17,2000,11,台東縣,30,3.2666666666666666,7.438999999999999
農業試驗所,22.4,31.9,15.3,77.5,243.43,2000,11,台中市,30,2.5833333333333335,8.114333333333333
茶改場,17.8,26.3,10.6,119.6,203.07,2000,12,桃園市,31,3.858064516129032,6.550645161290323
桃園農改,18.8,26.5,13.2,128.5,210.01,2000,12,桃園市,31,4.145161290322581,6.774516129032258
五峰站,14.1,24,3.6,114.9,257.37,2000,12,新竹縣,31,3.706451612903226,8.30225806451613
苗栗農改,16.15,27.85,3.4,,252.82,2000,12,苗栗縣,31,,8.15548387096774
台中農改,19.3,27.5,12.8,188.8,243.65,2000,12,台中市,31,6.090322580645162,7.859677419354839
臺大溪頭,14.2,23.1,6.4,,250.88,2000,12,南投縣,31,,8.09290322580645
雲林分場,19,28.1,11.5,126.9,264.15,2000,12,雲林縣,31,4.093548387096774,8.520967741935483
義竹分場,19.4,27.9,12.4,,379.32,2000,12,嘉義縣,31,,12.236129032258065
畜試所,19.9,29,12.6,99.3,231.06,2000,12,臺南市,31,3.203225806451613,7.453548387096775
高雄農改,21.8,30.8,15.3,116.1,227.49,2000,12,屏東縣,31,3.7451612903225806,7.338387096774194
恆春畜試,23.4,31.6,17.6,128.7,347.42,2000,12,屏東縣,31,4.151612903225806,11.207096774193548
蘭陽分場,18.7,27,13.6,27.4,135.25,2000,12,宜蘭縣,31,0.8838709677419354,4.362903225806452
花蓮農改,20.2,28.5,13.5,66.1,232.45,2000,12,花蓮縣,31,2.1322580645161286,7.498387096774193
斑鳩分場,17.95,27.9,7.9,69.35,174.125,2000,12,台東縣,31,2.237096774193548,5.616935483870968
農業試驗所,19.5,29,11.2,133.8,255.86,2000,12,台中市,31,4.316129032258065,8.253548387096775
桃園農改,16.7,30.2,8.6,127.6,216.29,2001,1,桃園市,31,4.116129032258065,6.977096774193548
茶改場,15.4,25.4,8.2,111.5,220.1,2001,1,桃園市,31,3.596774193548387,7.1
五峰站,12.1,21.2,2.8,118.4,274.35,2001,1,新竹縣,31,3.8193548387096774,8.850000000000001
苗栗農改,,,,,,2001,1,苗栗縣,31,,
